;Framleiðandi;Gerð;Undirgerð;Verð;Vél;Hö;l/100 km;KM á rafmagni;Gírskipting;Drif;Sæti;
;BMW;5 series iPerformance;530e;8.980.000;I4 2,0 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;252;2,0;45;8 gíra sjálfskipting;RWD;5;59
X5 M50d;;;;;;;;;;;;
;BMW;X5 M50d;M50d xDrive;18.590.000;I6 3,0 l twin turbo dísil;400;8,8;;8 gíra sjálfskipting;AWD;5/7;72
X7 M50d;;;;;;;;;;;;
;BMW;X7 M50d;M50d xDrive;23.790.000;I6 3,0 l twin turbo dísil;400;9,8;;8 gíra sjálfskipting;AWD;6/7;74
i3;;;;;;;;;;;;
;BMW;i3;Prestige;5.890.000;42 kWh rafhlaða, rafmótor;170;;285;1 gíra sjálfskipting;RWD;4;61
;BMW;i3;s;6.289.999;42 kWh rafhlaða, rafmótor;184;;285;1 gíra sjálfskipting;RWD;4;62
;BMW;i3;S Prestige;6.730.000;42 kWh rafhlaða, rafmótor;184;;285;1 gíra sjálfskipting;RWD;4;63
;BMW;i3;Standard;5.690.000;42 kWh rafhlaða, rafmótor;170;;285;1 gíra sjálfskipting;RWD;4;60
X4;;;;;;;;;;;;
;BMW;X4;xDrive20d;10.490.000;I4 2,0 l twin turbo dísil;190;6,4;;8 gíra sjálfskipting;AWD;5;69
X1 iPerformance;;;;;;;;;;;;
;BMW;X1 iPerformance;xDrive25e M-Sport;7.980.000;I3 1,5 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;220;2,1;52;6 gíra sjálfskipting;AWD;5;
;BMW;X1 iPerformance;xDrive25e X-Line;7.290.000;I3 1,5 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;220;2,1;52;6 gíra sjálfskipting;AWD;5;
X5;;;;;;;;;;;;
;BMW;X5;xDrive30d;13.590.000;I6 3,0 l twin turbo dísil;265;8,0;;8 gíra sjálfskipting;AWD;5/7;70
X7;;;;;;;;;;;;
;BMW;X7;xDrive30d;18.290.000;I6 3,0 l twin turbo dísil;265;9,1;;8 gíra sjálfskipting;AWD;6/7;73
X3 iPerformance;;;;;;;;;;;;
;BMW;X3 iPerformance;xDrive30e Luxury Line;9.980.000;I4 2,0 l twin turbo bensín + 12 kWh rafhlaða, rafmótor;292;2,1;50;6 gíra sjálfskipting;AWD;5;68
;BMW;X3 iPerformance;xDrive30e SE;8.150.000;I4 2,0 l twin turbo bensín + 12 kWh rafhlaða, rafmótor;292;2,1;50;6 gíra sjálfskipting;AWD;5;66
;BMW;X3 iPerformance;xDrive30e X-Line;9.250.000;I4 2,0 l twin turbo bensín + 12 kWh rafhlaða, rafmótor;292;2,1;50;6 gíra sjálfskipting;AWD;5;67
X5 iPerformance;;;;;;;;;;;;
;BMW;X5 iPerformance;xDrive45e;12.590.000;I6 3,0 l twin turbo bensín + 22 kWh rafhlaða, rafmótor;394;2,0;80;8 gíra sjálfskipting;AWD;5;71
C4 SpaceTourer;;;;;;;;;;;;
;Citroen;C4 SpaceTourer;1,2 Puretech automatic;4.150.000;I3 1,2 l turbo bensín;130;5,1;;8 gíra sjálfskipting;FWD;5;95
;Citroen;C4 SpaceTourer;1,2 Puretech manual;3.850.000;I3 1,2 l turbo bensín;130;5,2;;6 gíra beinskipting;FWD;5;94
;Citroen;C4 SpaceTourer;1,5 BlueHdi automatic;4.350.000;I4 1,5 l turbo dísil;130;4,0;;8 gíra sjálfskipting;FWD;5;97
;Citroen;C4 SpaceTourer;1,5 BlueHdi manual;4.050.000;I4 1,5 l turbo dísil;130;4,0;;6 gíra beinskipting;FWD;5;96
Grand C4 SpaceTourer;;;;;;;;;;;;
;Citroen;Grand C4 SpaceTourer;1,2 Puretech automatic;4.670.000;I3 1,2 l turbo bensín;130;5,2;;8 gíra sjálfskipting;FWD;7;111
;Citroen;Grand C4 SpaceTourer;1,2 Puretech manual;4.370.000;I3 1,2 l turbo bensín;130;5,2;;6 gíra beinskipting;FWD;7;110
;Citroen;Grand C4 SpaceTourer;1,5 BlueHdi automatic;4.890.000;I4 1,5 l turbo dísil;130;4,1;;8 gíra sjálfskipting;FWD;7;113
;Citroen;Grand C4 SpaceTourer;1,5 BlueHdi manual;4.620.000;I4 1,5 l turbo dísil;130;4,1;;6 gíra beinskipting;FWD;7;112
C4;;;;;;;;;;;;
;Citroen;C4;Feel 1,2 Puretech 82 hp manual;2.590.000;I3 1,2 l bensín;82;4,8;;5 gíra beinskipting;FWD;5;76
C3;;;;;;;;;;;;
;Citroen;C3;Feel 1,2 Puretech 82 hp manual;2.630.000;I3 1,2 l bensín;82;4,8;;5 gíra beinskipting;FWD;5;76
;Citroen;C3;Shine 1,2 Puretech 110 hp automatic;3.530.000;I3 1,2 l turbo bensín;110;5,2;;6 gíra sjálfskipting;FWD;5;81
;Citroen;C3;Shine 1,2 Puretech 110 hp manual;3.030.000;I3 1,2 l turbo bensín;110;4,7;;5 gíra beinskipting;FWD;5;77
C4 Cactus;;;;;;;;;;;;
;Citroen;C4 Cactus;Feel 1,2 Puretech automatic;3.540.000;I3 1,2 l turbo bensín;110;5,7;;6 gíra sjálfskipting;FWD;5;90
;Citroen;C4 Cactus;Feel 1,2 Puretech manual;3.250.000;I3 1,2 l turbo bensín;110;4,8;;5 gíra beinskipting;FWD;5;88
;Citroen;C4 Cactus;Shine 1,2 Puretech automatic;3.840.000;I3 1,2 l turbo bensín;110;5,7;;6 gíra sjálfskipting;FWD;5;93
;Citroen;C4 Cactus;Shine 1,2 Puretech manual;3.490.000;I3 1,2 l turbo bensín;110;4,8;;5 gíra beinskipting;FWD;5;91
C3 Aircross;;;;;;;;;;;;
;Citroen;C3 Aircross;Feel 1,2 Puretech automatic;3.840.000;I3 1,2 l turbo bensín;110;5,7;;6 gíra sjálfskipting;FWD;5;83
;Citroen;C3 Aircross;Feel 1,2 Puretech manual;3.440.000;I3 1,2 l turbo bensín;110;4,8;;5 gíra beinskipting;FWD;5;82
;Citroen;C3 Aircross;Shine 1,2 Puretech automatic;3.990.000;I3 1,2 l turbo bensín;110;5,7;;6 gíra sjálfskipting;FWD;5;86
;Citroen;C3 Aircross;Shine 1,2 Puretech manual;3.590.000;I3 1,2 l turbo bensín;110;4,8;;5 gíra beinskipting;FWD;5;85
C5 Aircross;;;;;;;;;;;;
;Citroen;C5 Aircross;Feel 1,2 Puretech automatic;4.930.000;I3 1,2 l turbo bensín;130;5,3;;8 gíra sjálfskipting;FWD;5;101
;Citroen;C5 Aircross;Feel 1,2 Puretech manual;4.730.000;I3 1,2 l turbo bensín;130;5,3;;6 gíra beinskipting;FWD;5;101
;Citroen;C5 Aircross;Feel 1,5 BlueHdi automatic;5.130.000;I4 1,5 l turbo dísil;130;4,1;;8 gíra sjálfskipting;FWD;5;103
;Citroen;C5 Aircross;Feel 1,5 BlueHdi manual;4.930.000;I4 1,5 l turbo dísil;130;4,2;;6 gíra beinskipting;FWD;5;102
;Citroen;C5 Aircross;Feel 1,6 Puretech automatic;5.290.000;I4 1,6 l turbo bensín;180;5,7;;8 gíra sjálfskipting;FWD;5;104
;Citroen;C5 Aircross;Live 1,2 Puretech automatic;4.690.000;I3 1,2 l turbo bensín;130;5,3;;8 gíra sjálfskipting;FWD;5;98
;Citroen;C5 Aircross;Live 1,2 Puretech manual;4.490.000;I3 1,2 l turbo bensín;130;5,3;;6 gíra beinskipting;FWD;5;98
;Citroen;C5 Aircross;Live 1,5 BlueHdi automatic;4.890.000;I4 1,5 l turbo dísil;130;4,1;;8 gíra sjálfskipting;FWD;5;100
;Citroen;C5 Aircross;Live 1,5 BlueHdi manual;4.690.000;I4 1,5 l turbo dísil;130;4,2;;6 gíra beinskipting;FWD;5;99
;Citroen;C5 Aircross;Shine 1,2 Puretech automatic;5.390.000;I3 1,2 l turbo bensín;130;5,3;;8 gíra sjálfskipting;FWD;5;98
;Citroen;C5 Aircross;Shine 1,2 Puretech manual;5.190.000;I3 1,2 l turbo bensín;130;5,3;;6 gíra beinskipting;FWD;5;98
;Citroen;C5 Aircross;Shine 1,5 BlueHdi automatic;5.730.000;I4 1,5 l turbo dísil;130;4,1;;8 gíra sjálfskipting;FWD;5;107
;Citroen;C5 Aircross;Shine 1,5 BlueHdi manual;5.530.000;I4 1,5 l turbo dísil;130;4,2;;6 gíra beinskipting;FWD;5;106
;Citroen;C5 Aircross;Shine 1,6 Puretech automatic;5.790.000;I4 1,6 l turbo bensín;180;5,7;;8 gíra sjálfskipting;FWD;5;108
;Citroen;C5 Aircross;Shine 2,0 BlueHdi automatic;6.590.000;I4 2,0 l turbo bensín;180;4,8;;8 gíra sjálfskipting;FWD;5;109
Sandero;;;;;;;;;;;;
;Dacia;Sandero;0,9 petrol;2.150.000;I3 0,9 l turbo bensín;90;5,4;;5 gíra beinskipting;FWD;5;118
Logan;;;;;;;;;;;;
;Dacia;Logan;1,5 diesel;2.650.000;I4 1,5 l turbo dísil;90;3,8;;5 gíra beinskipting;FWD;5;117
Duster;;;;;;;;;;;;
;Dacia;Duster;Comfort 1,3 petrol;4.450.000;I4 1,3 l turbo bensín;130;7,4;;6 gíra beinskipting;AWD;5;115
;Dacia;Duster;Comfort 1,5 diesel;4.450.000;I4 1,5 l turbo dísil;115;5,6;;6 gíra beinskipting;AWD;5;116
;Dacia;Duster;Essential 1,3 petrol;4.090.000;I4 1,3 l turbo bensín;130;7,4;;6 gíra beinskipting;AWD;5;114
Panda Cross;;;;;;;;;;;;
;Fiat;Panda Cross;Cross 4x4;2.990.000;I2 0,9 l bensín;90;4,9;;6 gíra beinskipting;AWD;5;125
Tipo hatchback;;;;;;;;;;;;
;Fiat;Tipo hatchback;Easy 1,4 petrol;3.090.000;I4 1,3 l turbo bensín;120;6,3;;6 gíra beinskipting;FWD;5;126
;Fiat;Tipo hatchback;Easy 1,6 diesel;3.490.000;I4 1,6 l turbo dísil;120;3,8;;6 gíra DCT sjálfskipting;FWD;5;127
Tipo station;;;;;;;;;;;;
;Fiat;Tipo station;Easy 1,4 petrol;3.090.000;I4 1,3 l turbo bensín;120;6,3;;6 gíra beinskipting;FWD;5;128
;Fiat;Tipo station;Easy 1,6 diesel;3.490.000;I4 1,6 l turbo dísil;120;3,9;;6 gíra DCT sjálfskipting;FWD;5;129
500 hatchback;;;;;;;;;;;;
;Fiat;500 hatchback;Lounge automatic;2.890.000;I4 1,2 l bensín;69;4,9;;5 gíra sjálfskiptur;FWD;4;122
;Fiat;500 hatchback;Lounge manual;2.590.000;I4 1,2 l bensín;69;4,9;;5 gíra beinskipting;FWD;4;121
;Fiat;500 hatchback;Pop automatic;2.590.000;I4 1,2 l bensín;69;4,9;;5 gíra sjálfskiptur;FWD;4;120
;Fiat;500 hatchback;Pop manual;2.390.000;I4 1,2 l bensín;69;4,9;;5 gíra beinskipting;FWD;4;119
500C;;;;;;;;;;;;
;Fiat;500C;Lounge automatic;3.150.000;I4 1,2 l bensín;69;4,9;;5 gíra sjálfskiptur;FWD;4;124
;Fiat;500C;Lounge manual;2.850.000;I4 1,2 l bensín;69;4,9;;5 gíra beinskipting;FWD;4;123
Focus 5 door;;;;;;;;;;;;
;Ford;Focus 5 door;Active 1,0 125 hp automatic;4.330.000;I3 1,0 l turbo bensín;125;6,7;;8 gíra sjálfskipting;FWD;5;150
;Ford;Focus 5 door;Active 1,5 182 hp automatic;4.710.000;I3 1,5 l turbo bensín;182;6,9;;8 gíra sjálfskipting;FWD;5;152
;Ford;Focus 5 door;ST-Line 1,0 125 hp automatic;4.330.000;I3 1,0 l turbo bensín;125;6,7;;8 gíra sjálfskipting;FWD;5;147
;Ford;Focus 5 door;ST-Line 1,5 182 hp automatic;4.600.000;I3 1,5 l turbo bensín;182;6,9;;8 gíra sjálfskipting;FWD;5;152
Focus station;;;;;;;;;;;;
;Ford;Focus station;Active 1,0 125 hp automatic;4.610.000;I3 1,0 l turbo bensín;125;6,7;;8 gíra sjálfskipting;FWD;5;150
;Ford;Focus station;Active 1,5 182 hp automatic;4.990.000;I3 1,5 l turbo bensín;182;6,9;;8 gíra sjálfskipting;FWD;5;152
;Ford;Focus station;ST-Line 1,0 125 hp automatic;4.610.000;I3 1,0 l turbo bensín;125;6,7;;8 gíra sjálfskipting;FWD;5;147
;Ford;Focus station;ST-Line 1,5 182 hp automatic;4.880.000;I3 1,5 l turbo bensín;182;6,9;;8 gíra sjálfskipting;FWD;5;152
Focus mild hybrid 5 door;;;;;;;;;;;;
;Ford;Focus mild hybrid 5 door;Active 1,0 125 hp manual mild hybrid;4.030.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;149
;Ford;Focus mild hybrid 5 door;Connected 1,0 125 hp manual mild hybrid;4.180.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;149
;Ford;Focus mild hybrid 5 door;ST-Line 1,0 125 hp manual mild hybrid;4.030.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;146
Focus mild hybrid station;;;;;;;;;;;;
;Ford;Focus mild hybrid station;Active 1,0 125 hp manual mild hybrid;4.310.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;149
;Ford;Focus mild hybrid station;Connected 1,0 125 hp manual mild hybrid;4.460.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;149
;Ford;Focus mild hybrid station;ST-Line 1,0 125 hp manual mild hybrid;4.310.000;I3 1,0 l turbo bensín mild hybrid;125;5,8;;6 gíra beinskipting;FWD;5;146
Mustang;;;;;;;;;;;;
;Ford;Mustang;EcoBoost;6.390.000;I4 2,3 l turbo bensín;310;9,4;;6 gíra beinskipting;RWD;4;179
Expedition;;;;;;;;;;;;
;Ford;Expedition;Limited;18.390.000;V6 3,5 l twin turbo bensín;365;12,3;;10 gíra DCT sjálfskipting;AWD;8;135
Explorer plug-in hybrid;;;;;;;;;;;;
;Ford;Explorer plug-in hybrid;Platinum;11.990.000;V6 3,0 l twin turbo bensín + 14 kWh rafhlaða, rafmótor;457;3,1;48;10 gíra sjálfskipting;AWD;7;136
;Ford;Explorer plug-in hybrid;ST-Line;11.990.000;V6 3,0 l twin turbo bensín + 14 kWh rafhlaða, rafmótor;457;3,1;48;10 gíra sjálfskipting;AWD;7;137
Fiesta;;;;;;;;;;;;
;Ford;Fiesta;ST-Line 125 hp;3.190.000;I3 1,0 l turbo bensín;125;5,2;;6 gíra sjálfskipting;FWD;5;140
;Ford;Fiesta;Titanium 125 hp;3.190.000;I3 1,0 l turbo bensín;125;5,2;;6 gíra sjálfskipting;FWD;5;140
Fiesta mild hybrid;;;;;;;;;;;;
;Ford;Fiesta mild hybrid;ST-Line 125 hp;3.590.000;I3 1,0 l turbo mild hybrid bensín;125;5,1;;6 gíra sjálfskipting;FWD;5;140
;Ford;Fiesta mild hybrid;Titanium 125 hp;3.490.000;I3 1,0 l turbo mild hybrid bensín;125;5,1;;6 gíra sjálfskipting;FWD;5;140
Ecosport;;;;;;;;;;;;
;Ford;Ecosport;ST-Line FWD;3.990.000;I3 1,0 l turbo bensín;125;6,5;;6 gíra sjálfskipting;FWD;5;134
;Ford;Ecosport;Titanium AWD;3.690.000;I4 1,5 l turbo dísil;125;4,9;;5 gíra beinskipting;AWD;5;131
;Ford;Ecosport;Titanium FWD;3.890.000;I3 1,0 l turbo bensín;125;6,5;;6 gíra sjálfskipting;FWD;5;130
;Ford;Ecosport;Titanium S AWD;3.890.000;I4 1,5 l turbo dísil;125;4,9;;5 gíra beinskipting;AWD;5;133
;Ford;Ecosport;Titanium S FWD;3.890.000;I3 1,0 l turbo bensín;125;5,3;;6 gíra sjálfskipting;FWD;5;132
Fiesta ST;;;;;;;;;;;;
;Ford;Fiesta ST;ST2;3.950.000;I3 1,5 l turbo bensín;200;6,0;;6 gíra beinskipting;FWD;5;143
Kuga plug-in hybrid;;;;;;;;;;;;
;Ford;Kuga plug-in hybrid;Titanium;5.390.000;I4 2,5 l bensín + 14 kWh rafhlaða, 2 rafmótorar;225;1,4;56;1 gíra CVT sjálfskipting;FWD;5;166
;Ford;Kuga plug-in hybrid;Titanium X;5.890.000;I4 2,5 l bensín + 14 kWh rafhlaða, 2 rafmótorar;225;1,4;56;1 gíra CVT sjálfskipting;FWD;5;167
;Ford;Kuga plug-in hybrid;Vignale;6.490.000;I4 2,5 l bensín + 14 kWh rafhlaða, 2 rafmótorar;225;1,4;56;1 gíra CVT sjálfskipting;FWD;5;168
S-MAX;;;;;;;;;;;;
;Ford;S-MAX;Titanium;5.750.000;I4 2,0 l turbo dísil;150;5,8;;8 gíra sjálfskipting;FWD;5/7;184
;Ford;S-MAX;Titanium AWD;7.690.000;I4 2,0 l turbo dísil;190;6,2;;8 gíra sjálfskipting;AWD;5/7;185
Mondeo liftback;;;;;;;;;;;;
;Ford;Mondeo liftback;Titanium 1,5 EcoBoost 165 hp automatic;4.890.000;I4 1,5 l turbo bensín;165;7,4;;6 gíra sjálfskipting;FWD;5;170
;Ford;Mondeo liftback;Titanium 1,5 EcoBoost 165 hp manual;4.490.000;I4 1,5 l turbo bensín;165;6,6;;6 gíra beinskipting;FWD;5;169
;Ford;Mondeo liftback;Titanium 2,0 TDCi 150 hp automatic;4.990.000;I4 2,0 l turbo dísil;150;5,0;;8 gíra sjálfskipting;FWD;5;172
